Week,Systolic Range,Diastolic Range,Readings,
"Mar 21, 2025 - Mar 27, 2025",115 - 128,72 - 81,5,
"Mar 14, 2025 - Mar 20, 2025",114 - 127,76 - 83,3,
"Mar 7, 2025 - Mar 13, 2025",118 - 134,75 - 86,4,
"Feb 28, 2025 - Mar 6, 2025",122 - 129,76 - 86,3,
"Feb 21, 2025 - Feb 27, 2025",119 - 128,72 - 79,2,
"Feb 14, 2025 - Feb 20, 2025",134 - 139,81 - 83,2,
"Feb 7, 2025 - Feb 13, 2025",127 - 134,79 - 83,4,
"Jan 31, 2025 - Feb 6, 2025",130 - 137,80 - 85,4,
"Jan 24, 2025 - Jan 30, 2025",133 - 148,80 - 100,4,
"Jan 17, 2025 - Jan 23, 2025",130 - 139,82 - 87,5,
"Jan 10, 2025 - Jan 16, 2025",135 - 135,89 - 92,2,
"Jan 3, 2025 - Jan 9, 2025",129 - 154,88 - 96,7,
"Dec 27, 2024 - Jan 2, 2025",137 - 164,88 - 104,6,
"Dec 20, 2024 - Dec 26, 2024",137 - 168,87 - 111,6,
"Dec 13, 2024 - Dec 19, 2024",157 - 178,95 - 113,5,
